Genus,LM,TD,TI,TP,LL,WD,WI,LI
Hemiauchenia,50.35,23.05,27.88,24.39,56,34.85,39.34,41.14
Hemiauchenia,49.73,23.66,28.15,24.13,55.26,34.97,39.44,41.3
Hemiauchenia,51.05,25.04,27.95,23.71,52.86,36.52,37.96,40.8
Hemiauchenia,53.45,22.89,29.5,25.95,57.5,37.84,40.99,44.41
Hemiauchenia,53.96,22.75,29.72,25.29,58.43,36.53,41.62,44.59
Hemiauchenia,52.66,21.4,28.46,23.81,54.61,36.79,39.84,41.2
Hemiauchenia,47.56,22.97,26.82,23.67,52.28,34.08,38.49,39.65
Hemiauchenia,48.98,22.5,26.96,23.7,52.62,34.43,36.24,40.07
Hemiauchenia,51.42,24.9,28.26,24.14,54.33,37.91,40.35,41.4
Hemiauchenia,54.01,23.88,30.6,26.48,58.5,37.51,39.3,44.31
Hemiauchenia,49.83,24.37,30.22,20.69,53.94,33.88,36.89,41.54
Hemiauchenia,42.89,19.52,24.56,21.77,46.56,31.19,33.05,35.39
Hemiauchenia,50.46,23.86,28.64,24.22,55.49,37.16,41.05,43.19
Hemiauchenia,47.36,22.1,26.19,22.03,51.85,33.45,35.17,39.25
Hemiauchenia,50.38,25.02,29.12,24.59,54.75,37.25,40.49,42.32
Hemiauchenia,50.89,22.59,27,23.51,54.79,35.39,39.34,42.55
Hemiauchenia,51.14,22.32,27.64,24.34,54.34,36.69,38.55,41.62
Hemiauchenia,49.74,23.41,28.84,24.03,54.15,35.88,37.93,41.06
Hemiauchenia,49.5,23.11,27.59,23.45,52.59,35.09,37.29,38.74
Hemiauchenia,49.19,25.2,28,23.83,52.22,35.04,36.6,39.47
Hemiauchenia,48.69,23.29,26.05,22.13,50.85,33.49,36.87,38.82
Hemiauchenia,49.94,23.68,27.62,22.18,53.05,35.45,37.11,41.38
Hemiauchenia,50.67,21.79,27.8,22.85,55.31,35.25,37.42,41.76
Hemiauchenia,50.36,23.56,27.68,22.21,53.49,34.24,38.09,39.96
Hemiauchenia,49.5,23.44,26.38,22.59,53.43,34.6,38.9,40.4
Hemiauchenia,49.75,24.98,28.42,23.28,55.31,35.42,39.05,42.61
Hemiauchenia,49.93,26.3,30.09,23.91,55.26,37.14,40.99,42.71
Hemiauchenia,52.81,25.31,30.68,24.33,57.65,37.46,42,43.03
Hemiauchenia,51.17,22.7,28,23.94,53.64,36.51,38.78,40.54
Hemiauchenia,51.19,23.75,28.94,25,55,36.62,39.81,41.95
Hemiauchenia,51.22,24.05,27.16,24.32,54.23,35.38,39.39,41.68
Hemiauchenia,51.23,23.49,28.98,23.8,56.26,35.34,39.26,42.75
Hemiauchenia,53.16,23.03,29.3,25.37,58.71,38.56,40.36,44.05
Hemiauchenia,46.63,22.23,26.87,22.78,51.21,33.3,37.47,39.5
Hemiauchenia,52.21,24.19,28.69,25.14,54.64,35.26,37.92,41.64
Hemiauchenia,48.41,24.02,27.36,23.96,53.62,34.2,38.33,40.47
Hemiauchenia,52.69,22.63,29.8,25.12,58.79,38.24,42.06,45
Hemiauchenia,54.58,23.11,30.21,25.78,58.58,39.76,41.1,46.11
Hemiauchenia,49.42,22.02,27.43,21.73,52.71,36.53,39.59,41.52
Hemiauchenia,49.16,19.42,26.25,21.67,52.16,32.55,35.18,41.26
Hemiauchenia,56.21,25.06,30.87,23.42,59.31,41.63,,46.86
Hemiauchenia,51.87,22.2,27.21,24.33,54.9,38.23,38.7,44.13
Hemiauchenia,49.18,20.83,28.48,24.82,54.13,36.68,37.25,40.95
Hemiauchenia,54.33,23.13,30.36,24.94,60.7,38.65,42.8,46.84
